Type	Time	Value	Data center
rtb.requests	1561398480	5114.461111	dc=S
rtb.requests	1561398840	4734.169445	dc=S
rtb.requests	1561399200	4315.394445	dc=S
rtb.requests	1561399260	4312.027381	dc=S
rtb.requests	1561399560	4587.688492	dc=S
rtb.requests	1561399620	4493.052778	dc=S
rtb.requests	1561399920	4221.797223	dc=S
rtb.requests	1561399980	4280.589683	dc=S
rtb.requests	1561400280	4320.428572	dc=S
rtb.requests	1561400340	4264.927778	dc=S
rtb.requests	1561400640	4130.623611	dc=S
rtb.requests	1561400700	4114.723611	dc=S
rtb.requests	1561401000	3994.725	dc=S
rtb.requests	1561401060	3977.715477	dc=S
rtb.requests	1561401360	3785.012699	dc=S
rtb.requests	1561401420	3751.74127	dc=S
rtb.requests	1561401720	3832.438492	dc=S
rtb.requests	1561401780	3769.575397	dc=S
rtb.requests	1561402080	3614.101667	dc=S
rtb.requests	1561402140	3605.582223	dc=S
rtb.requests	1561402440	3187.468334	dc=S
rtb.requests	1561402500	3190.534524	dc=S
rtb.requests	1561402800	2997.670635	dc=S
rtb.requests	1561402860	2959.603572	dc=S
rtb.requests	1561403160	2823.888334	dc=S
rtb.requests	1561403520	2841.512778	dc=S
rtb.requests	1561403580	2782.512302	dc=S
rtb.requests	1561403880	2657.309127	dc=S
rtb.requests	1561403940	2684.133334	dc=S
rtb.requests	1561404240	2508.419445	dc=S
rtb.requests	1561404300	2468.727778	dc=S
rtb.requests	1561404600	2469.15	dc=S
rtb.requests	1561404660	2399.33254	dc=S
rtb.requests	1561404960	2463.326111	dc=S
rtb.requests	1561405020	2450.151111	dc=S
rtb.requests	1561405320	2411.376111	dc=S
rtb.requests	1561405380	2361.055556	dc=S
rtb.requests	1561405680	2214.618334	dc=S
rtb.requests	1561406040	2279.213334	dc=S
rtb.requests	1561406100	2244.469048	dc=S
rtb.requests	1561406400	1973.489127	dc=S
rtb.requests	1561406460	1974.48	dc=S
rtb.requests	1561406760	1964.995556	dc=S
rtb.requests	1561406820	1954.169842	dc=S
rtb.requests	1561407120	1904.944842	dc=S
rtb.requests	1561407180	1897.788096	dc=S
rtb.requests	1561407480	1836.875556	dc=S
rtb.requests	1561407840	1862.283334	dc=S
rtb.requests	1561407900	1828.952381	dc=S
rtb.requests	1561408200	1730.147778	dc=S
rtb.requests	1561408560	1724.831111	dc=S
rtb.requests	1561408620	1696.311111	dc=S
rtb.requests	1561408920	1556.463334	dc=S
rtb.requests	1561409280	1512.686111	dc=S
rtb.requests	1561409640	1641.702778	dc=S
rtb.requests	1561409700	1595.776588	dc=S
rtb.requests	1561410000	1482.968889	dc=S
rtb.requests	1561410360	1351.746667	dc=S
rtb.requests	1561410420	1350.759524	dc=S
rtb.requests	1561410720	1409.273413	dc=S
rtb.requests	1561410780	1354.464683	dc=S
rtb.requests	1561411080	1465.391111	dc=S
rtb.requests	1561411440	1328.661111	dc=S
rtb.requests	1561411800	1546.3	dc=S
rtb.requests	1561411860	1545.985318	dc=S
rtb.requests	1561412160	1445.546111	dc=S
rtb.requests	1561412520	1478.151667	dc=S
rtb.requests	1561412580	1470.017857	dc=S
rtb.requests	1561412880	1515.575397	dc=S
rtb.requests	1561412940	1522.713889	dc=S
rtb.requests	1561413240	1563.563889	dc=S
rtb.requests	1561413300	1561.797223	dc=S
rtb.requests	1561413600	1606.783334	dc=S
rtb.requests	1561413660	1589.486508	dc=S
